title,movieId,id
Toy Story,1,862
Jumanji,2,8844
Grumpier Old Men,3,15602
Waiting to Exhale,4,31357
Father of the Bride Part II,5,11862
Heat,6,949
Sabrina 1995,7,11860
Tom and Huck,8,45325
Sudden Death,9,9091
GoldenEye,10,710
The American President,11,9087
Dracula: Dead and Loving It,12,12110
Balto,13,21032
Nixon,14,10858
Cutthroat Island,15,1408
Casino,16,524
Sense and Sensibility,17,4584
Four Rooms,18,5
Ace Ventura: When Nature Calls,19,9273
Money Train,20,11517
Get Shorty,21,8012
Copycat,22,1710
Assassins,23,9691
Powder,24,12665
Leaving Las Vegas,25,451
Othello 1995,26,16420
Now and Then,27,9263
Persuasion 1995,28,17015
The City of Lost Children,29,902
Shanghai Triad,30,37557
Dangerous Minds,31,9909
Twelve Monkeys,32,63
Babe,34,9598
Carrington,35,47018
Dead Man Walking,36,687
Across the Sea of Time,37,139405
It Takes Two,38,33689
Clueless,39,9603
"Cry, the Beloved Country",40,34615
Richard III,41,31174
Dead Presidents,42,11443
Restoration,43,35196
Mortal Kombat,44,9312
To Die For,45,577
How To Make An American Quilt,46,11861
Se7en,47,807
Pocahontas,48,10530
When Night Is Falling,49,8391
The Usual Suspects,50,629
Mighty Aphrodite,52,11448
Lamerica,53,49133
The Big Green,54,26441
Georgia,55,97406
Home for the Holidays,57,9089
The Postman 1994,58,11010
The Confessional,59,99040
The Indian in the Cupboard,60,11359
Eye for an Eye,61,17182
Mr. Holland's Opus,62,2054
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,63,10607
Two If by Sea,64,19760
Bio-Dome,65,9536
Lawnmower Man 2: Beyond Cyberspace,66,11525
French Twist,68,4482
Friday,69,10634
From Dusk Till Dawn,70,755
Fair Game 1995,71,11859
Kicking and Screaming,72,28387
Les Miserables,73,48750
Bed of Roses,74,20927
Screamers,76,9102
Nico Icon,77,124626
The Crossing Guard,78,27526
The Juror,79,9623
The White Balloon,80,46785
Things to Do in Denver When You're Dead,81,400
Antonia's Line,82,880
Once Upon a Time... When We Were Colored,83,146599
Last Summer in the Hamptons,84,188588
Angels and Insects,85,8447
White Squall,86,10534
Dunston Checks In,87,17414
Black Sheep,88,13997
Nick of Time,89,2086
Mary Reilly,92,9095
Vampire in Brooklyn,93,12158
Beautiful Girls,94,9283
Broken Arrow,95,9208
A Midwinter's Tale,96,40154
La Haine,97,406
Shopping,98,45549
Heidi Fleiss: Hollywood Madam,99,63076
City Hall,100,11062
Bottle Rocket,101,13685
Mr. Wrong,102,47475
Unforgettable,103,2045
Happy Gilmore,104,9614
The Bridges of Madison County,105,688
Muppet Treasure Island,107,10874
Catwalk,108,89333
Braveheart,110,197
Taxi Driver,111,103
Rumble in the Bronx,112,33542
Before and After,113,43566
Margaret's Museum,114,71754
Anne Frank Remembered,116,51352
The Young Poisoner's Handbook,117,16934
If Lucy Fell,118,10324
Steal Big Steal Little,119,78406
The Boys of St. Vincent,121,32119
Boomerang,122,11066
Chungking Express,123,11104
The Star Maker,124,37975
Flirting with Disaster,125,2074
The Neverending Story III: Escape from Fantasia,126,27793
Pie in the Sky,129,110972
Angela,130,32622
Frankie Starlight,131,73067
Jade,132,11863
Down Periscope,135,9101
Man of the Year 1995,137,5757
Up Close & Personal,140,9302
The Birdcage,141,11000
The Brothers McMullen,144,16388
Bad Boys 1995,145,9737
The Amazing Panda Adventure,146,30765
The Basketball Diaries,147,10474
An Awfully Big Adventure,148,22279
Amateur,149,30157
Apollo 13,150,568
Rob Roy,151,11780
The Addiction,152,34996
Batman Forever,153,414
Belle de Jour,154,649
Beyond Rangoon,155,1873
Blue in the Face,156,5894
Canadian Bacon,157,1775
Casper,158,8839
Clockers,159,20649
Congo,160,10329
Crimson Tide,161,8963
Crumb,162,26564
Desperado,163,8068
Devil in a Blue Dress,164,8512
Die Hard: With a Vengeance,165,1572
The Doom Generation,166,13552
Feast of July,167,259209
First Knight,168,6520
Free Willy 2 - The Adventure Home,169,9073
Hackers,170,10428
Jeffrey,171,17447
Johnny Mnemonic,172,9886
Judge Dredd,173,9482
Jury Duty,174,19326
Kids,175,9344
Living in Oblivion,176,9071
Lord of Illusions,177,8973
Love & Human Remains,178,15730
Mad Love,179,47608
Mallrats,180,2293
Mighty Morphin Power Rangers: The Movie,181,9070
Mute Witness,183,48787
Nadja,184,34574
The Net,185,1642
Nine Months,186,11472
Party Girl,187,36196
The Prophecy,188,11980
Reckless 1995,189,58372
Safe,190,32646
The Scarlet Letter 1995,191,10533
Showgirls,193,10802
Smoke,194,10149
Something to Talk About,195,18402
Species,196,9348
Strange Days,198,281
The Umbrellas of Cherbourg,199,5967
The Tie That Binds,200,79593
Three Wishes,201,47939
Total Eclipse,202,36834
"To Wong Foo, Thanks for Everything! Julie Newmar",203,9090
Under Siege 2: Dark Territory,204,3512
Unstrung Heroes,205,52856
Unzipped,206,77350
A Walk in the Clouds,207,9560
Waterworld,208,9804
White Man's Burden,209,31611
